run,gen,filename,gap
1,17,778_153_01010101,0.001834
1,17,778_98_01010101,0.004275
1,17,221_1012_01010101,0.006246
1,17,778_772_01010101,0.007363
1,17,778_1012_01010101,0.008222
1,17,221_924_01010101,0.008417
1,17,221_138_01010101,0.008794
1,17,778_40_01010101,0.009509
1,17,778_264_01010101,0.010858
1,17,221_98_01010101,0.010958
1,17,221_153_01010101,0.013113
1,17,221_772_01010101,0.013858
1,17,778_1141_01010101,0.014319
1,17,221_465_01010101,0.015420
1,17,221_56_01010101,0.015737
1,17,778_989_01010101,0.016864
1,17,221_264_01010101,0.017491
1,17,221_730_01010101,0.036093
1,17,221_198_01010101,0.068357
1,17,778_234_01010101,0.127590
1,17,564_98_01010101,0.276670
1,17,221_844_01010101,0.295355
1,17,221_1141_01010101,0.298578
1,17,778_885_01010101,0.395167
1,17,360_1012_01010101,0.523935
1,17,737_1141_01010101,0.524814
1,17,221_129_01010101,0.654176
1,17,812_465_01010101,0.799160
1,17,221_989_01010101,0.826360
1,17,221_186_01010101,0.870035
1,17,1091_40_01010101,1.114787
1,17,970_264_01010101,1.122789
1,18,778_153_01010101,0.001834
1,18,221_1201_01010101,0.004187
1,18,778_98_01010101,0.004275
1,18,221_1012_01010101,0.006246
1,18,778_772_01010101,0.007363
1,18,778_1012_01010101,0.008222
1,18,221_924_01010101,0.008417
1,18,221_138_01010101,0.008794
1,18,778_40_01010101,0.009509
1,18,778_264_01010101,0.010858
1,18,221_98_01010101,0.010958
1,18,221_153_01010101,0.013113
1,18,221_772_01010101,0.013858
1,18,778_1141_01010101,0.014319
1,18,221_465_01010101,0.015420
1,18,221_56_01010101,0.015737
1,18,778_989_01010101,0.016864
1,18,221_916_01010101,0.046882
1,18,778_924_01010101,0.104153
1,18,778_465_01010101,0.110752
1,18,778_165_01010101,0.115734
1,18,778_59_01010101,0.131594
1,18,778_795_01010101,0.142696
1,18,321_1141_01010101,0.159911
1,18,778_289_01010101,0.165021
1,18,221_682_01010101,0.245595
1,18,778_140_01010101,0.323195
1,18,253_1141_01010101,0.331857
1,18,1211_772_01010101,0.492225
1,18,448_1012_01010101,0.493605
1,18,94_1141_01010101,0.781577
1,18,221_989_01010101,0.826360
1,19,778_153_01010101,0.001834
1,19,221_1201_01010101,0.004187
1,19,778_98_01010101,0.004275
1,19,221_1012_01010101,0.006246
1,19,778_772_01010101,0.007363
1,19,778_1012_01010101,0.008222
1,19,221_924_01010101,0.008417
1,19,221_138_01010101,0.008794
1,19,778_40_01010101,0.009509
1,19,778_264_01010101,0.010858
1,19,221_98_01010101,0.010958
1,19,221_153_01010101,0.013113
1,19,221_772_01010101,0.013858
1,19,778_1141_01010101,0.014319
1,19,221_465_01010101,0.015420
1,19,221_56_01010101,0.015737
1,19,221_264_01010101,0.017491
1,19,778_815_01010101,0.095335
1,19,778_392_01010101,0.129030
1,19,778_1036_01010101,0.142354
1,19,778_458_01010101,0.143766
1,19,221_1031_01010101,0.182756
1,19,778_1201_01010101,0.236219
1,19,221_923_01010101,0.261809
1,19,1031_1201_01010101,0.313116
1,19,510_264_01010101,0.377098
1,19,303_98_01010101,0.433125
1,19,299_1012_01010101,0.558823
1,19,302_98_01010101,0.784494
1,19,42_153_01010101,0.787229
1,19,839_264_01010101,0.826814
1,19,1082_138_01010101,0.946303
1,20,778_153_01010101,0.001834
1,20,221_1201_01010101,0.004187
1,20,778_98_01010101,0.004275
1,20,221_1012_01010101,0.006246
1,20,778_772_01010101,0.007363
1,20,221_49_01010101,0.008164
1,20,778_1012_01010101,0.008222
1,20,221_924_01010101,0.008417
1,20,221_138_01010101,0.008794
1,20,778_40_01010101,0.009509
1,20,778_264_01010101,0.010858
1,20,221_98_01010101,0.010958
1,20,221_153_01010101,0.013113
1,20,221_772_01010101,0.013858
1,20,778_1141_01010101,0.014319
1,20,221_465_01010101,0.015420
1,20,221_56_01010101,0.015737
1,20,778_982_01010101,0.115686
1,20,778_138_01010101,0.120496
1,20,778_1095_01010101,0.122025
1,20,778_1201_01010101,0.236219
1,20,823_153_01010101,0.292303
1,20,639_772_01010101,0.310863
1,20,691_153_01010101,0.411775
1,20,413_153_01010101,0.452994
1,20,1011_465_01010101,0.484083
1,20,1197_1141_01010101,0.621239
1,20,230_98_01010101,0.799056
1,20,139_98_01010101,0.802187
1,20,677_1012_01010101,0.860802
1,20,372_56_01010101,1.328506
1,20,355_465_01010101,1.543239
1,21,778_153_01010101,0.001834
1,21,221_1201_01010101,0.004187
1,21,778_98_01010101,0.004275
1,21,221_806_01010101,0.005626
1,21,221_1012_01010101,0.006246
1,21,778_772_01010101,0.007363
1,21,221_49_01010101,0.008164
1,21,778_1012_01010101,0.008222
1,21,221_924_01010101,0.008417
1,21,221_138_01010101,0.008794
